
16.11.;05A;2;M;Mathematik;Kn;Rm;101;Vertretung; 
16.11.;05A;3;M;Mathematik;Kn;Za;101;Vertretung; 
16.11.;05ABCDE;4;PP;Prakt. Philosophie;Ka;Ze;201;Vertretung; 
16.11.;05ABCDE;4;ER;Evgl. Religion;Wg;Lo;101;Vertretung; 
16.11.;05ABCDE;5;PP;Prakt. Philosophie;Ka;He;201;Vertretung; 
16.11.;05ABCDE;5;ER;Evgl. Religion;Wg;Bw;101;Vertretung; 
16.11.;05D;2;D;Deutsch;Wg;Dm;107;Vertretung; 
16.11.;05D;3;D;Deutsch;Wg;Di;107;Vertretung; 
16.11.;07A;6;SP;---;Pa;---;---;Entfall; 
16.11.;08B;1;E5;Englisch;Kn;Pm;212;Vertretung; 
16.11.;08B;7;BI;Biologie;Kn;Poe;213;Vertretung;Englisch statt Bio
16.11.;08B;8;BI;Biologie;Kn;Or;213;Vertretung;Englisch statt Bio
16.11.;08C;1;M;Mathematik;Wl;Snd;213;Vertretung; 
16.11.;08C;2 - 3;CH;Chemie;Pa;Ca;214;Vertretung; 
16.11.;08C;4 - 5;SP;Sport;Pa;Hi;GRH 2;Vertretung; 
16.11.;EF;6;PL G2;Philosophie GK 2;Ka;+;138;eigenv. Arbeiten;Aufgabe in Teams
16.11.;EF;9;SP G3;Sport GK 3;Va;+;GRH 1;eigenv. Arbeiten;Entfall 9./10.
16.11.;Q1;6;PL G2;Philosophie GK 2;Ra;+;220;eigenv. Arbeiten;Aufgabe in der; ; ; ; ; ; ; ; ; ;Ablage

16.11.;Q1;8;CH L1;Chemie LK 1;Pa;+;006;eigenv. Arbeiten;Aufgaben per Teams
16.11.;Q2;1;PL G2;Philosophie GK 2;Ka;+;127;eigenv. Arbeiten;Aufgabe in Teams
16.11.;Q2;2 - 3;PL G1;Philosophie GK 1;Ra;+;127;eigenv. Arbeiten;Aufgabe in der; ; ; ; ; ; ; ; ; ;Ablage
16.11.;Q2;8;CH G1;Chemie GK 1;Her;+;012;eigenv. Arbeiten;Aufgabe in Teams
16.11.; ;0/1; ; ;Ka;Si;FrühNord;Pausenaufsicht; 
16.11.; ;3/4; ; ;Kn;Fr;Hof Ost 1;Pausenaufsicht; 
16.11.; ;3/4; ; ;Ka;Str;C Ost 2;Pausenaufsicht; 
16.11.; ;5/6; ; ;Ra;Sn;EG Süd;Pausenaufsicht; 
16.11.; ;5/6; ; ;Va;Ho;1. OG;Pausenaufsicht; 

17.11.;05C;6;KL EG;Klassenleitungsstunde Ergänzungsstunde;Wl;Kr;103;Betreuung; 
17.11.;06A;1;M;Mathematik;Wl;Bk;201;Vertretung; 
17.11.;07E;4 - 5;M;Mathematik;Wl;Lo;210;Vertretung; 
17.11.;08D;3;M;Mathematik;Wl;Ob;214;Vertretung; 
17.11.;EF;2 - 3;CH G1;Chemie GK 1;Pa;+;004;eigenv. Arbeiten;Aufgaben per Teams
17.11.;Q1;4 - 5;CH L1;Chemie LK 1;Pa;+;004;eigenv. Arbeiten;Aufgaben per Teams
17.11.; ;3/4; ; ;Pa;Kn;EG Süd;Pausenaufsicht; 
